#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    97    0.25883E+04   -0.20984E+02    0.41137E-05   -0.20984E+02    0.70034E+00   -0.12039E-07    0.41137E-05   -0.12039E-07    0.10228E-10
    98    0.26189E+04   -0.21623E+02    0.40193E-05   -0.21623E+02    0.71468E+00   -0.11751E-07    0.40193E-05   -0.11751E-07    0.99546E-11
    99    0.26496E+04   -0.22265E+02    0.39281E-05   -0.22265E+02    0.72888E+00   -0.11368E-07    0.39281E-05   -0.11368E-07    0.96908E-11
   100    0.26806E+04   -0.22906E+02    0.38398E-05   -0.22906E+02    0.74294E+00   -0.10904E-07    0.38398E-05   -0.10904E-07    0.94363E-11
   101    0.27117E+04   -0.23549E+02    0.37545E-05   -0.23549E+02    0.75693E+00   -0.10375E-07    0.37545E-05   -0.10375E-07    0.91906E-11
   102    0.27433E+04   -0.24192E+02    0.36718E-05   -0.24192E+02    0.77069E+00   -0.97960E-08    0.36718E-05   -0.97960E-08    0.89534E-11
   103    0.27749E+04   -0.24836E+02    0.35919E-05   -0.24836E+02    0.78430E+00   -0.91826E-08    0.35919E-05   -0.91826E-08    0.87244E-11
   104    0.28066E+04   -0.25476E+02    0.35144E-05   -0.25476E+02    0.79776E+00   -0.85501E-08    0.35144E-05   -0.85501E-08    0.85031E-11
   105    0.28385E+04   -0.26116E+02    0.34393E-05   -0.26116E+02    0.81099E+00   -0.79136E-08    0.34393E-05   -0.79136E-08    0.82893E-11
   106    0.28707E+04   -0.26754E+02    0.33664E-05   -0.26754E+02    0.82407E+00   -0.72885E-08    0.33664E-05   -0.72885E-08    0.80825E-11
   107    0.29027E+04   -0.27389E+02    0.32956E-05   -0.27389E+02    0.83686E+00   -0.66901E-08    0.32956E-05   -0.66901E-08    0.78824E-11
   108    0.29352E+04   -0.28021E+02    0.32268E-05   -0.28021E+02    0.84942E+00   -0.61337E-08    0.32268E-05   -0.61337E-08    0.76887E-11
   109    0.29678E+04   -0.28649E+02    0.31599E-05   -0.28649E+02    0.86169E+00   -0.56347E-08    0.31599E-05   -0.56347E-08    0.75010E-11
   110    0.30004E+04   -0.29272E+02    0.30946E-05   -0.29272E+02    0.87366E+00   -0.52082E-08    0.30946E-05   -0.52082E-08    0.73188E-11
   111    0.30332E+04   -0.29891E+02    0.30310E-05   -0.29891E+02    0.88541E+00   -0.48661E-08    0.30310E-05   -0.48661E-08    0.71420E-11
   112    0.30662E+04   -0.30505E+02    0.29689E-05   -0.30505E+02    0.89686E+00   -0.46056E-08    0.29689E-05   -0.46056E-08    0.69703E-11
